,ids,ra,dec,z,mergers
0,34008,53.154089,-27.754034,0.9785068859491698,[34048]
1,34082,53.145185,-27.751049,0.3727560244079955,[34366]
2,34359,53.157904,-27.752224,1.0009240416777796,"[34478, 34610]"
3,34363,53.151279,-27.749884,0.7497542855655617,[]
4,34418,53.150246,-27.752242,0.38251343054969433,[]
5,34482,53.14544,-27.750533,0.6644172771328094,[]
6,34518,53.157254,-27.751521,1.244283290889055,[34478]
7,34543,53.156539,-27.750776,1.6381508659149842,[]
8,34627,53.160799,-27.749998,0.9429378434878445,"[34882, 35048]"
9,34646,53.146069,-27.75064,1.0727489476914411,[]
10,34671,53.1594,-27.748639,0.6811885581730939,[]
11,34672,53.156377,-27.750291,0.6589976689242132,[]
12,34682,53.155816,-27.749144,0.1266908043566251,"[34190, 34221, 34913]"
13,34716,53.152777,-27.750511,1.0031841981119642,[]
14,34968,53.152866,-27.74924,3.1765074956227357,[35012]
15,35048,53.16057,-27.748686,1.0074271823796335,"[34627, 35190]"
16,35111,53.165452,-27.748084,0.7516449283428288,[35112]
17,35137,53.161603,-27.746923,0.7317708423189472,"[35332, 35642]"
18,35145,53.149223,-27.748588,2.5589844568704745,[]
19,35193,53.166441,-27.748266,1.1042155711674289,"[35020, 35474]"
20,35332,53.162282,-27.746126,0.8403755087381107,"[35357, 35462, 35642]"
21,35420,53.164372,-27.747105,0.36360301657939564,[]
22,35433,53.141525,-27.745829,0.28235408101718323,[]
23,35444,53.172859,-27.744457,1.3388330713924292,[]
24,35475,53.161108,-27.747003,0.49042563259155053,[]
25,35484,53.17167,-27.746563,0.7670131003476255,[]
26,35539,53.16867,-27.74557,0.386328521169529,[]
27,35587,53.145456,-27.745456,1.4751887437447397,[]
28,35642,53.16206,-27.745899,0.841700613723268,"[35332, 35462]"
29,35719,53.164518,-27.744387,0.6980412625097329,[]
30,35721,53.145336,-27.7446,0.6679403424123477,"[35758, 35983, 36178]"
31,35747,53.148233,-27.743932,0.5064868865915538,[]
32,35758,53.145527,-27.745189,0.7469428528105587,[35721]
33,35774,53.158775,-27.742385,1.225425504406247,"[36207, 36267, 36422, 36572]"
34,35800,53.146373,-27.744315,1.0945179531539044,[]
35,35826,53.159341,-27.743342,0.4329441475034337,[]
36,35937,53.158912,-27.742675,2.3555571484471174,[36141]
37,35993,53.172149,-27.743361,0.7205399388005514,[]
38,36000,53.1695,-27.743839,0.1925059856865284,"[36020, 36127]"
39,36001,53.153963,-27.743634,0.0,"[30, 71, 78, 255, 367, 405, 512, 528, 636, 730, 744, 788, 935, 1027, 1038, 1041, 1062, 1111, 1125, 1137, 1150, 1155, 1187, 1197, 1212, 1224, 1235, 1247, 1260, 1312, 1338, 1362, 1378, 1455, 1517, 1531, 1536, 1545, 1559, 1601, 1797, 1811, 1825, 1847, 1945, 2220, 2250, 2286, 2328, 2344, 2454, 2459, 2522, 2629, 2651, 2656, 2665, 2702, 2748, 2991, 3037, 3052, 3118, 3154, 3158, 3173, 3180, 3184, 3187, 3227, 3244, 3287, 3303, 3377, 3502, 3538, 3577, 3630, 3647, 3655, 3674, 3813, 3822, 3862, 3906, 3908, 3927, 3939, 3994, 4023, 4049, 4136, 4192, 4246, 4339, 4398, 4539, 4591, 4634, 4703, 4732, 4762, 4785, 4930, 4975, 4990, 5015, 5159, 5181, 5285, 5386, 5410, 5441, 5499, 5540, 5632, 5660, 5903, 5937, 5970, 6027, 6033, 6073, 6153, 6170, 6178, 6251, 6263, 6323, 6388, 6412, 6485, 6502, 6538, 6571, 6613, 6692, 6781, 6794, 6855, 6894, 6910, 6953, 7031, 7096, 7113, 7156, 7237, 7254, 7414, 7479, 7532, 7622, 7649, 7690, 7736, 7748, 7757, 7868, 7983, 7992, 8046, 8060, 8091, 8101, 8110, 8118, 8154, 8223, 8284, 8291, 8314, 8353, 8377, 8403, 8426, 8528, 8530, 8535, 8582, 8810, 8835, 8841, 8891, 9028, 9130, 9175, 9250, 9345, 9376, 9381, 9447, 9506, 9524, 9609, 9612, 9614, 9724, 9825, 9880, 9937, 9946, 9971, 10022, 10031, 10059, 10063, 10070, 10138, 10148, 10166, 10212, 10308, 10311, 10324, 10325, 10383, 10431, 10440, 10485, 10509, 10549, 10554, 10569, 10573, 10628, 10644, 10734, 10746, 10802, 10851, 10852, 10865, 10881, 10957, 11047, 11070, 11086, 11093, 11097, 11144, 11165, 11210, 11333, 11345, 11373, 11381, 11453, 11502, 11681, 11696, 11795, 12013, 12031, 12045, 12070, 12077, 12088, 12128, 12146, 12177, 12193, 12246, 12282, 12291, 12323, 12339, 12380, 12382, 12393, 12435, 12444, 12464, 12474, 12511, 12517, 12522, 12547, 12553, 12559, 12570, 12628, 12667, 12694, 12701, 12785, 12804, 12824, 12915, 13022, 13036, 13039, 13049, 13094, 13112, 13189, 13221, 13244, 13290, 13312, 13325, 13438, 13456, 13553, 13576, 13627, 13643, 13724, 13738, 13743, 13744, 13750, 13764, 13794, 13815, 13826, 13847, 13885, 13924, 14019, 14058, 14131, 14238, 14318, 14393, 14443, 14514, 14528, 14570, 14639, 14654, 14798, 14841, 14871, 14914, 14986, 15146, 15184, 15191, 15296, 15383, 15385, 15416, 15452, 15520, 15571, 15631, 15657, 15689, 15719, 15769, 15788, 15806, 15811, 15816, 15931, 16063, 16188, 16200, 16238, 16259, 16273, 16289, 16304, 16349, 16378, 16422, 16470, 16512, 16524, 16525, 16563, 16572, 16594, 16606, 16632, 16661, 16677, 16704, 16711, 16728, 16868, 16898, 16982, 17093, 17126, 17154, 17183, 17198, 17278, 17287, 17339, 17348, 17358, 17359, 17371, 17413, 17444, 17595, 17648, 17674, 17697, 17710, 17719, 17789, 17797, 17820, 17839, 17879, 17933, 17965, 17978, 17997, 18052, 18139, 18146, 18270, 18296, 18330, 18368, 18444, 18450, 18467, 18526, 18530, 18542, 18597, 18670, 18754, 18787, 18831, 18972, 19007, 19012, 19056, 19070, 19079, 19085, 19209, 19240, 19380, 19402, 19403, 19430, 19438, 19463, 19475, 19505, 19517, 19528, 19603, 19689, 19693, 19724, 19726, 19773, 19782, 19817, 19954, 19983, 20070, 20101, 20108, 20275, 20321, 20343, 20394, 20429, 20483, 20543, 20603, 20660, 20737, 20743, 20859, 20865, 20866, 20942, 20949, 20958, 21059, 21061, 21093, 21160, 21223, 21289, 21335, 21347, 21352, 21425, 21434, 21487, 21501, 21527, 21593, 21599, 21629, 21644, 21739, 21805, 21854, 21952, 21968, 21996, 22023, 22048, 22067, 22082, 22109, 22159, 22205, 22220, 22287, 22346, 22351, 22366, 22371, 22374, 22387, 22427, 22486, 22597, 22601, 22636, 22676, 22748, 22844, 22869, 22901, 22909, 22910, 22923, 22934, 22975, 22979, 23016, 23095, 23137, 23167, 23172, 23195, 23197, 23254, 23310, 23312, 23348, 23482, 23534, 23600, 23606, 23705, 23710, 23790, 23909, 23925, 23927, 24012, 24053, 24069, 24112, 24178, 24180, 24200, 24247, 24321, 24334, 24335, 24387, 24438, 24557, 24572, 24586, 24638, 24696, 24729, 24759, 24775, 24794, 24804, 24840, 24855, 24880, 24892, 24937, 24991, 25027, 25057, 25084, 25123, 25144, 25190, 25192, 25204, 25293, 25383, 25392, 25412, 25434, 25441, 25455, 25483, 25526, 25618, 25668, 25836, 25894, 25946, 25966, 26022, 26028, 26055, 26058, 26069, 26109, 26393, 26455, 26500, 26562, 26564, 26588, 26618, 26620, 26625, 26631, 26677, 26689, 26705, 26741, 26742, 26788, 26797, 26814, 26838, 26878, 26881, 27076, 27100, 27119, 27148, 27255, 27271, 27281, 27290, 27312, 27360, 27362, 27399, 27410, 27414, 27494, 27569, 27598, 27644, 27664, 27699, 27734, 27752, 27754, 27767, 27821, 27851, 27904, 27907, 27922, 27935, 27944, 27948, 28033, 28034, 28061, 28141, 28145, 28198, 28316, 28386, 28433, 28441, 28686, 28749, 28808, 28874, 29022, 29029, 29078, 29126, 29144, 29188, 29214, 29267, 29300, 29301, 29312, 29315, 29317, 29332, 29454, 29455, 29522, 29538, 29560, 29576, 29677, 29753, 29864, 29870, 29895, 30241, 30276, 30374, 30460, 30491, 30546, 30582, 30604, 30700, 30729, 30785, 30856, 30859, 30968, 30969, 30981, 30988, 30990, 31005, 31037, 31069, 31175, 31211, 31323, 31338, 31352, 31356, 31414, 31428, 31493, 31521, 31602, 31620, 31636, 31643, 31658, 31681, 31723, 31735, 31851, 31880, 31980, 32033, 32117, 32140, 32315, 32322, 32471, 32536, 32540, 32586, 32678, 32706, 32803, 32816, 32845, 32871, 32895, 32912, 32966, 33007, 33020, 33021, 33042, 33104, 33115, 33121, 33214, 33217, 33237, 33293, 33330, 33335, 33386, 33391, 33396, 33444, 33446, 33459, 33479, 33534, 33597, 33650, 33699, 33731, 33749, 33828, 33881, 33897, 33917, 33954, 33972, 34070, 34071, 34094, 34099, 34102, 34122, 34185, 34212, 34267, 34340, 34432, 34461, 34624, 34655, 34662, 34665, 34683, 34689, 34722, 34748, 34772, 34784, 34785, 34804, 34821, 34828, 34868, 34879, 34914, 34932, 34933, 35053, 35094, 35140, 35159, 35160, 35191, 35206, 35235, 35260, 35297, 35360, 35431, 35439, 35442, 35446, 35459, 35477, 35599, 35635, 35648, 35655, 35796, 35797, 35869, 35885, 35891, 35898, 35945, 35976, 35989, 36014, 36056, 36060, 36070, 36076, 36165, 36210, 36272, 36312, 36350, 36364, 36438, 36458, 36502, 36680, 36683, 36699, 36717, 36785, 36849, 36899, 36904, 36944, 36952, 36983, 37003, 37139, 37202, 37379, 37412, 37414, 37436, 37443, 37454, 37460, 37520, 37523, 37635, 37644, 37682, 37753, 37756, 37799, 37871, 37908, 38003, 38065, 38087, 38162, 38179, 38190, 38213, 38229, 38247, 38303, 38333, 38402, 38414, 38446, 38475, 38488, 38511, 38557, 38567, 38598, 38626, 38628, 38724, 38771, 38784, 38895, 38949, 38989, 38996, 39033, 39124, 39199, 39210, 39238, 39259, 39260, 39271, 39288, 39389, 39553, 39637, 39734, 39818, 39862, 39876, 39892, 39903, 39908, 39913, 39931, 39936, 39989, 40131, 40180, 40201, 40265, 40382, 40397, 40459, 40486, 40517, 40529, 40536, 40628, 40644, 40676, 40683, 40716, 40778, 40848, 40856, 40861, 40955, 40977, 40981, 41080, 41139, 41338, 41444, 41453, 41455, 41499, 41533, 41540, 41578, 41605, 41610, 41800, 41856, 41880, 41997, 42029, 42036, 42142, 42155, 42177, 42198, 42200, 42215, 42220, 42228, 42324, 42342, 42355, 42367, 42406, 42430, 42444, 42476, 42491, 42508, 42516, 42530, 42550, 42581, 42649, 42656, 42662, 42668, 42728, 42743, 42787, 42797, 42802, 42894, 42942, 42946, 42952, 43055, 43100, 43122, 43158, 43164, 43187, 43191, 43197, 43199, 43200, 43337, 43362, 43380, 43382, 43440, 43530, 43571, 43585, 43703, 43723, 43784, 43863, 43870, 43883, 43889, 43947, 43961, 43971, 43974, 43986, 44012, 44028, 44041, 44045, 44059, 44079, 44106, 44114, 44118, 44176, 44210, 44218, 44222, 44227, 44317, 44328, 44334, 44340, 44372, 44408, 44446, 44508, 44670, 44724, 44741, 44749, 44766, 44811, 44858, 44873, 44875, 44997, 45003, 45052, 45072, 45084, 45183, 45272, 45281, 45298, 45440, 45490, 45535, 45546, 45599, 45605, 45635, 45652, 45679, 45727, 45750, 45788, 45806, 45881, 45904, 45935, 45948, 45992, 45997, 46028, 46041, 46042, 46107, 46147, 46194, 46250, 46336, 46439, 46459, 46574, 46796, 46842, 46874, 46878, 46884, 46950, 46975, 46983, 47015, 47087, 47093, 47145, 47149, 47165, 47166, 47264, 47272, 47451, 47472, 47508, 47512, 47524, 47587, 47619, 47622, 47659, 47869, 47892, 47897, 47951, 47955, 48064, 48101, 48110, 48141, 48172, 48194, 48197, 48216, 48220, 48269, 48310, 48344, 48345, 48383, 48446, 48456, 48511, 48581, 48621, 48691, 48725, 48746, 48754, 48822, 48832, 48902, 49003, 49044, 49058, 49178, 49206, 49207, 49241, 49273, 49291, 49297, 49299, 49300, 49304, 49305, 49318, 49348, 49356, 49357, 49365, 49368, 49369, 49375, 49392, 49394, 49395, 49399, 49411, 49438, 49450, 49462, 49494, 49585, 49614, 49634, 49644, 49727, 49784, 49932, 49989, 50019, 50023, 50079, 50115, 50139, 50203, 50207, 50209, 50248, 50260, 50286, 50383, 50385, 50407, 50412, 50444, 50468, 50485]"
40,36009,53.139492,-27.741772,0.14969823540298163,"[35737, 36396]"
41,36066,53.151935,-27.74213,0.6840185567386563,"[36303, 36509]"
42,36095,53.16261,-27.739,2.002783064651755,"[36920, 36926]"
43,36096,53.173035,-27.743546,0.8313645450643105,[]
44,36126,53.16072,-27.742822,0.9563295137465175,"[36079, 36131, 36182, 36367]"
45,36127,53.171539,-27.743344,0.23779672692620926,"[36000, 36020]"
46,36178,53.144854,-27.743412,0.6148175176334436,"[35721, 35983]"
47,36182,53.160254,-27.743266,0.971057810229865,"[36126, 36131, 36367]"
48,36207,53.159446,-27.742284,1.2321628432229335,"[35774, 36267, 36328, 36355, 36422, 36572]"
49,36220,53.151291,-27.742911,3.6158049550269364,"[36247, 36323]"
50,36249,53.141779,-27.742518,0.5211634438620578,[]
51,36303,53.152222,-27.742385,0.6761943629117964,"[36066, 36509]"
52,36316,53.150819,-27.741822,1.4161781482406364,"[36459, 36663]"
53,36366,53.169694,-27.742119,0.7673393926508113,[]
54,36376,53.148918,-27.742292,1.3354023823274714,[]
55,36451,53.170591,-27.740991,1.173091040395144,[]
56,36459,53.151928,-27.74127,1.3702900567271166,"[36316, 36623, 36663]"
57,36482,53.166825,-27.738513,0.5203167472254318,[]
58,36509,53.15323,-27.74154,0.6862135653929381,"[36066, 36303]"
59,36570,53.149951,-27.741389,1.1903555158427985,"[36342, 36555]"
60,36572,53.159835,-27.741073,1.218563408283853,"[35774, 36207, 36355, 36422, 36503, 36702]"
61,36573,53.162034,-27.741409,2.629787392390803,"[36260, 36612]"
62,36602,53.163258,-27.738457,0.16469877674602285,"[36873, 37389]"
63,36632,53.146093,-27.740989,0.9372950528977029,[36352]
64,36648,53.168792,-27.740986,1.0858333929592854,[]
65,36652,53.165336,-27.740852,0.6659240765867194,[]
66,36653,53.150117,-27.739932,1.0948355493875654,"[36555, 36570, 36937, 36997]"
67,36659,53.140689,-27.738162,1.2736873666183488,"[37012, 37043]"
68,36674,53.141692,-27.740835,0.9948067765532195,[]
69,36696,53.162258,-27.740609,0.664434278457396,[]
70,36820,53.149425,-27.740023,0.6512915580927614,[]
71,36822,53.175239,-27.739235,1.1377524790899236,"[36922, 37018, 37091]"
72,36832,53.172541,-27.739946,2.018420800646398,[]
73,36850,53.141617,-27.738594,1.0908345575216183,[]
74,36852,53.177577,-27.739625,0.5832430932433916,[36972]
75,36854,53.147711,-27.739196,0.9141964127741191,"[36979, 37010]"
76,36883,53.15725,-27.739792,0.9881528191013719,[]
77,36971,53.170713,-27.738579,0.28335247704356276,[37445]
78,36972,53.178614,-27.739219,0.5222042409776366,"[36852, 37172]"
79,36979,53.147298,-27.739244,0.8913069081186012,"[36854, 37010]"
80,36997,53.149127,-27.738752,1.2222928513979334,"[36758, 36937, 37072]"
81,37001,53.147252,-27.738677,1.2125308204739496,"[36758, 36764, 37063, 37089]"
82,37010,53.148767,-27.738885,0.9276528941422396,"[36854, 36979]"
83,37027,53.15674,-27.738564,0.6894926635242582,[36886]
84,37043,53.140789,-27.738303,1.2908159687840017,[36659]
85,37063,53.147259,-27.738399,1.2631358365593535,"[37001, 37089]"
86,37082,53.17694,-27.73818,1.158456493165803,"[36922, 37091, 37174]"
87,37085,53.181093,-27.73825,1.6419320666192847,"[37127, 37229]"
88,37089,53.147175,-27.738132,1.3149618868759552,"[37001, 37063]"
89,37098,53.162714,-27.738267,1.080739374345801,[]
90,37142,53.179271,-27.738083,1.277184336894666,[37174]
91,37162,53.157137,-27.73787,1.218363668332233,[37197]
92,37170,53.175846,-27.737659,0.6870290625914787,[37222]
93,37172,53.179534,-27.738177,0.5338509077694,[36972]
94,37183,53.160299,-27.737794,0.4324449800008455,[37296]
95,37188,53.138191,-27.737523,0.6321254962099994,"[37189, 37547]"
96,37189,53.139255,-27.737993,0.6743129676149657,[37188]
97,37197,53.156923,-27.737793,1.1998249385073345,[37162]
98,37222,53.177125,-27.737647,0.6253733992908777,[37170]
99,37249,53.136461,-27.737699,1.1160573007569417,"[37084, 37168, 37211, 37396]"
100,37256,53.152964,-27.735119,0.6646856285935764,"[37582, 37984]"
101,37259,53.138973,-27.73759,1.168671153777435,"[37012, 37333]"
102,37270,53.141657,-27.736691,0.9015125746773986,[37181]
103,37274,53.153526,-27.737446,1.0328038366024175,[]
104,37282,53.140902,-27.736116,0.6810895926699718,[37541]
105,37298,53.153386,-27.737237,0.5639420690838306,[]
106,37314,53.152056,-27.736952,0.8935622766442489,[]
107,37364,53.143469,-27.73717,0.6866349075428139,[37541]
108,37387,53.146251,-27.736279,1.83214269110352,[]
109,37394,53.161365,-27.737022,4.194775134992006,[]
110,37401,53.145913,-27.736685,0.7426480721590177,"[37361, 37621]"
111,37409,53.144339,-27.735562,1.2168530966855513,[37432]
112,37426,53.16883,-27.73646,0.8957157973021155,[]
113,37464,53.182014,-27.735741,1.094464619990849,[]
