,ids,ra,dec,z,mergers
0,42861,53.260207,-27.710153,1.7306112645773304,[42673]
1,43386,53.254569,-27.704823,0.9492592613063915,[44154]
2,43403,53.256525,-27.707943,1.3116892127631863,[43465]
3,43686,53.265712,-27.706398,1.6504000686384126,"[43598, 43616]"
4,43812,53.263996,-27.706155,1.1243629551120216,[]
5,43826,53.267806,-27.705734,1.913133044440745,[]
6,43904,53.251467,-27.705605,1.1159661124417162,[43538]
7,44095,53.253494,-27.704821,0.44076495068903454,[44180]
8,44101,53.258856,-27.704267,1.094836212967316,[43925]
9,44116,53.265342,-27.704593,0.609681880578907,[44135]
10,44130,53.252594,-27.704147,0.2705823896995494,[]
11,44135,53.264116,-27.704219,0.5618659969356142,[44116]
12,44225,53.25057,-27.704497,0.9809952047971335,[43611]
13,44288,53.256151,-27.703554,1.2316656074241359,[43958]
14,44311,53.267925,-27.703384,2.1304252077163386,"[44315, 44490]"
15,44408,53.25183,-27.702968,0.033028607702049274,"[44079, 44210, 44873, 45084, 45183, 45281, 45535, 46107, 46459, 46796, 46874, 47087, 47190, 47512, 48103, 48110, 48141, 48216]"
16,44427,53.249594,-27.703166,2.1147291856572945,[43938]
17,44620,53.249645,-27.702048,1.0891936717145887,"[44625, 44678]"
18,44651,53.260473,-27.70222,1.2143734545331648,[]
19,44707,53.245115,-27.70138,1.2598730091409194,[]
20,44723,53.257624,-27.701768,0.7439166019241046,[]
21,44794,53.248157,-27.70105,1.1129457402233958,"[44625, 44935]"
22,44857,53.259902,-27.692851,0.9001646236795641,[]
23,44889,53.255272,-27.700441,4.0804886910285445,"[44597, 44706]"
24,44957,53.247445,-27.700864,0.9587239193593841,[]
25,44999,53.26448,-27.699333,1.27024151518317,[]
26,45069,53.246062,-27.699672,1.0948362132380307,"[44935, 45273]"
27,45122,53.266063,-27.699897,1.2843726722992832,[]
28,45148,53.256323,-27.700084,0.8771868629984632,[]
29,45192,53.25442,-27.699314,1.6700594531481485,"[45089, 45219]"
30,45219,53.255286,-27.699456,1.620361253472345,"[45089, 45192]"
31,45242,53.259103,-27.699493,0.4271302166546975,[44777]
32,45264,53.24264,-27.698723,2.461781678279178,"[45221, 45374]"
33,45273,53.247508,-27.699275,1.0783850227128242,[45069]
34,45364,53.261916,-27.698829,1.0945760419260446,[]
35,45424,53.260212,-27.694364,0.7812390718208975,[]
36,45469,53.245194,-27.698355,0.5676953806213322,[45480]
37,45480,53.244515,-27.698389,0.5834562994429395,[45469]
38,45485,53.242289,-27.698413,1.0756269128145752,[]
39,45524,53.253417,-27.697846,1.085866270954228,[]
40,45551,53.242847,-27.697417,0.3479780532312017,[]
