,GN1,GN2,GN3,GN4,GN5,GN7,GS1,GS2,GS3,GS4,GS5,ERSPRIME
ids,"[37786, 37787, 36203, 37053, 37395, 38099, 37399, 37942, 38101, 38102, 37067, 37951, 37074, 37807, 37953, 37809, 37810, 37957, 37102, 37960, 37424, 36577, 38116, 37970, 36623, 37636, 38120, 37204, 38125, 37206, 38126, 38127, 37836, 37473, 37996, 38134, 36773, 37247, 37495, 37686, 37503, 36788, 37506, 36795, 37700, 37860, 36808, 37863, 38027, 37271, 38163, 37516, 37710, 37882, 38032, 37521, 37712, 37282, 37892, 38061, 37738, 37749, 36928, 37750, 37906, 37347, 37582, 37363, 37913, 37023, 37772]","[10101, 15616, 10202, 12870, 12923, 17886, 19711, 21720, 19747, 19789, 10336, 13037, 21738, 13042, 19845, 13117, 18022, 19860, 10512, 15861, 18036, 24345, 10528, 15867, 19889, 13148, 10619, 10639, 10653, 13191, 21854, 19955, 13209, 21918, 10723, 16033, 18150, 10752, 20050, 18181, 13312, 18197, 22088, 13352, 16083, 20073, 13401, 16173, 18315, 22265, 11152, 11201, 24971, 11228, 20298, 25004, 20325, 11339, 20334, 16375, 22417, 11393, 11429, 13839, 16495, 18574, 18585, 11526, 20701, 18642, 11743, 18650, 25616, 11785, 11802, 25671, 11814, 18763, 16753, 11941, 20825, 25773, 18817, 16814, 18869, 12131, 26410, 18988, 20948, 14621, 12317, 12318, 19034, 14709, 14713, 17139, 26882, 12381, 17193, 26903, 14780, 14784, 17339, 23210, 27373, 19231, 12478, 19235, 12479, 8300, 12499, 8762, 19316, 9030, 14970, 17481, 12542, 15038, 15050, 17515, 12545, 19418, 21471, 21497, 12642, 17626, 23640, 17635, 19465, 23667, 21534, 21543, 15474, 17712, 19584, 12739, 15477, 19591, 15544, 17760, 19592, 12814]","[25550, 26457, 26652, 26922, 27018, 27101, 27422, 27472, 27739, 27837, 28073, 28194, 28436, 28593, 28596, 29325, 29456, 29522, 29641, 29743, 30529, 31179, 31381, 31788, 31957, 32066, 32088, 32162, 32229, 32329, 32562, 32671, 32905, 32908, 32925, 33093, 33135, 33324, 33422, 33438, 33471, 33568, 33571, 33579, 33673, 33707, 33732, 33764, 33775, 33845, 33875, 34071, 34173, 34283, 34338, 34403, 34407, 34419, 34492, 34527, 34562, 34608, 34633, 34640, 34739, 34747, 34753, 34819, 34937, 34955, 34971, 34985, 35039, 35045, 35075, 35090, 35135, 35204, 35207, 35209, 35255, 35264, 35347, 35395, 35432, 35452, 35469, 35568, 35617, 35699, 35804, 35835, 35904, 36054, 36203, 36406, 36418, 36433, 36512, 36623, 36720, 36933, 37053, 37063, 37102, 37127, 37171, 37188, 37210, 37321, 37325]","[15861, 15999, 16083, 16755, 16827, 16903, 17070, 17098, 17153, 17193, 17515, 17712, 18098, 18181, 18291, 18400, 18574, 18633, 18692, 18763, 19080, 19273, 19308, 19437, 19493, 19584, 19845, 19889, 20073, 20105, 20305, 20319, 20325, 20353, 20481, 20635, 20666, 20737, 21323, 21376, 21427, 21448, 21503, 21564, 21637, 21814, 21854, 21918, 22088, 22265, 22417, 23210, 23254, 23381, 23435, 23608, 23674, 23722, 23889, 23936, 24247, 24263, 24427, 24621, 25024, 25393, 25531, 25550, 25687, 25734, 26072, 26304, 26328, 26457, 26633, 26652, 26696, 26922, 27018, 27101, 27422, 27472, 27476, 27543, 27739, 27812, 27837, 27930, 28034, 28073, 28194, 28436, 28593, 28596, 28599, 29325, 29456, 29522, 29641, 29743, 31381, 31788, 32229, 32329, 33422]","[29743, 30898, 31234, 31381, 32162, 32329, 32562, 33324, 33422, 33438, 33459, 33471, 33559, 33568, 33571, 33579, 33673, 33707, 33732, 33764, 33775, 33799, 33845, 33875, 34173, 34283, 34295, 34397, 34407, 34492, 34527, 34608, 34633, 34747, 34753, 34819, 34833, 34901, 34923, 34937, 34955, 35039, 35069, 35090, 35209, 35255, 35292, 35395, 35469, 35568, 35699, 35710, 35835, 36047, 36070]","[10517, 10964, 11046, 11090, 11245, 11630, 11683, 11750, 12300, 12435, 12436, 12713, 13384, 13466, 13509, 13686, 13750, 13777, 13821, 13909, 14051, 14178, 14281, 14300, 14597, 15046, 15127, 15206, 15300, 15379, 15474, 15477, 15544, 15761, 16102, 16119, 16178, 16500, 16694, 17006, 17211, 17291, 17339, 17411, 17450, 17481, 17926, 17927, 18036, 18462, 18642, 18905, 19017, 19088, 19149, 19160, 19197, 19235, 19270, 19406, 19442, 19475, 19659, 19875, 20061, 20515, 20520, 20950, 21048, 21152, 22881, 23525, 24560]","[42861, 43403, 43686, 43904, 44101, 44288, 44311, 44427, 44620, 44794, 45069, 45192, 45219, 45273, 45672, 45875, 46345, 46464, 46655, 46685, 46863, 47025, 47091, 47125, 47202, 47214, 47348, 47375, 47399, 47520, 47698, 47857, 47938, 48050, 48207, 48231, 48238, 48373, 48645, 48685, 48742, 48849, 48918, 49040, 49105, 49330, 49377, 49402, 49504, 49691, 49836, 49872, 49891, 50249, 50292]","[41965, 42471, 42472, 42520, 42576, 42652, 42706, 42711, 42762, 42915, 43144, 43264, 43266, 43352, 43417, 43548, 43572, 43596, 43762, 44050, 44083, 44085, 44588, 44643, 44674, 44824, 44843, 44848, 44871, 44985, 45333, 45378, 45492, 45495, 45633, 45657, 45738, 45772, 45775, 46119, 46235, 46267, 46515, 46704, 46744, 46751, 46846, 46866, 46870, 46976, 47045, 47059, 47283, 47297, 47378, 47396, 47576, 47734, 47768, 47770, 47813, 47868, 47910, 48014, 48089, 48136, 48212, 48221, 48251, 48318, 48417, 48472, 48563, 48623, 48631, 48652, 48706, 48716, 48802, 48956, 49097, 49127, 49198, 49233, 49320, 49692, 49790, 49845, 49902]","[34359, 34518, 35048, 35193, 35774, 36095, 36207, 36316, 36459, 36570, 36572, 36653, 36659, 36822, 36997, 37001, 37043, 37063, 37082, 37085, 37089, 37142, 37162, 37197, 37249, 37259, 37409, 37730, 37789, 37820, 37827, 37828, 38135, 38540, 38680, 38785, 38822, 38880, 38912, 38932, 38955, 39034, 39052, 39069, 39120, 39130, 39232, 39342, 39351, 39376, 39383, 39411, 39447, 39485, 39554, 39654, 39686, 39775, 39795, 39804, 39805, 39837, 39988, 40042, 40101, 40108, 40196, 40214, 40462, 40512, 40532, 40591, 40597, 40742, 41053, 41249, 41261, 41439, 41520, 41526, 41642, 41656, 41861, 41865, 41965, 41999, 42051, 42113, 42249, 42348, 42429, 42455, 42548, 42689, 42778, 43007]","[18933, 19365, 19743, 19819, 19872, 19999, 20018, 20106, 20199, 20253, 20404, 20547, 20549, 20614, 20634, 20651, 20883, 20976, 21002, 21676, 21690, 21740, 21797, 21823, 21849, 21986, 22078, 22276, 22291, 22568, 22614, 22793, 22865, 22868, 23118, 23370, 23664, 23777, 23816, 23828, 23985, 24021, 24108, 24110, 24312, 24365, 24519, 24569, 24587, 24615, 24628, 24763, 24779, 24817, 24851, 24947, 24976, 25003, 25197, 25231, 25435, 25452, 25465, 25540, 25541, 25547, 25617, 25641, 25745, 25778, 25787, 25799, 25843, 25856, 25900, 25991, 26053, 26087, 26175, 26278, 26387, 26406, 26512, 26550, 26558, 26571, 26578, 26698, 26739, 26746, 26915, 26972, 27027, 27029, 27088, 27095, 27202, 27329, 27370, 27482, 27533, 27573, 27795, 27801, 27867, 27881, 27973, 28022, 28087, 28119, 28139, 28151, 28152, 28218, 28267, 28353, 28448, 28704, 28785, 28794, 28878, 28975, 29047, 29053, 29122, 29155, 29236, 29256, 29257, 29293, 29313, 29323, 29349, 29360, 29394, 29442, 29460, 29601, 29632, 29686, 29699, 29713, 29717, 29796, 29815, 29816, 29928, 30079, 30081, 30132, 30271, 30387, 30427, 30479, 30534, 30587, 30777, 30807, 31039, 31063, 31191, 31210, 31262, 31277, 31439, 31475, 31722, 31888, 32021, 32186]","[37092, 37243, 37254, 37462, 37625, 37711, 37816, 37885, 38202, 38477, 38513, 38537, 38616, 38636, 38645, 38684, 38849, 38932, 38982, 39007, 39065, 39138, 39430, 39438, 39591, 39603, 39604, 39654, 39690, 39800, 39823, 39948, 40030, 40035, 40101, 40124, 40214, 40223, 40255, 40270, 40278, 40303, 40305, 40306, 40392, 40462, 40475, 40476, 40545, 40548, 40717, 40774, 40811, 40878, 40987, 41110, 41148, 41171, 41190, 41319, 41341, 41470, 41584, 41615, 41632, 41652, 41659, 41761, 41802, 41839, 41857, 41927, 42054, 42059, 42064, 42159, 42166, 42196, 42287, 42353, 42390, 42402, 42409, 42442, 42471, 42472, 42487, 42520, 42576, 42614, 42615, 42652, 42686, 42705, 42706, 42711, 42751, 42762, 42798, 42828, 42869, 42884, 42890, 42958, 43005, 43038, 43101, 43352, 43417, 43548, 43552, 43596, 43615, 43770, 43959, 44042, 44050, 44085, 44133, 44409, 44570, 44615, 44643, 44816, 44909, 45095, 45171, 45337, 45361, 45402, 45472, 45492, 45657, 45738, 46744]","[41509, 42646, 41531, 37939, 44604, 38140, 41558, 41571, 40078, 41683, 41688, 44725, 38398, 40114, 41708, 40142, 41734, 40192, 38571, 41775, 38767, 40331, 40394, 45004, 38832, 41806, 38867, 40421, 43114, 45143, 45156, 39012, 43137, 45255, 45258, 39085, 39106, 43260, 45355, 43276, 45397, 40759, 45522, 39170, 39172, 39241, 40776, 43332, 43353, 43374, 45603, 39314, 39325, 43438, 39326, 39348, 39358, 43583, 45697, 39364, 43599, 45699, 39377, 45840, 39433, 43683, 42221, 39568, 45938, 41151, 45995, 43882, 46000, 39649, 43891, 41274, 46247, 39689, 41283, 46272, 39745, 41358, 44108, 39807, 42568]"
ra,"[189.281986, 189.325931, 189.312368, 189.282732, 189.299358, 189.294207, 189.317087, 189.350348, 189.282894, 189.339219, 189.293402, 189.350978, 189.319921, 189.315812, 189.294901, 189.347884, 189.315569, 189.306383, 189.28236, 189.289228, 189.27528, 189.331771, 189.294818, 189.2951, 189.305536, 189.336046, 189.280512, 189.307081, 189.341379, 189.300237, 189.284502, 189.284768, 189.281481, 189.281906, 189.291587, 189.339407, 189.311603, 189.30887, 189.311897, 189.274474, 189.276323, 189.311848, 189.300648, 189.315319, 189.325869, 189.328142, 189.315112, 189.310374, 189.30543, 189.322002, 189.293837, 189.317451, 189.337627, 189.274413, 189.311674, 189.307064, 189.338309, 189.286601, 189.311035, 189.285111, 189.281185, 189.274749, 189.296735, 189.320636, 189.3198, 189.287187, 189.301799, 189.276075, 189.310772, 189.298075, 189.348524]","[189.234274, 189.238403, 189.253688, 189.22893, 189.222553, 189.178181, 189.200989, 189.206135, 189.218283, 189.144594, 189.231468, 189.257115, 189.210937, 189.224623, 189.238221, 189.260877, 189.180442, 189.186574, 189.222349, 189.259978, 189.164063, 189.244758, 189.23181, 189.226432, 189.257503, 189.250326, 189.223995, 189.22297, 189.222208, 189.217041, 189.261122, 189.168624, 189.208263, 189.253762, 189.261078, 189.225678, 189.231324, 189.219014, 189.156723, 189.264765, 189.237155, 189.219886, 189.260758, 189.192665, 189.259257, 189.239211, 189.192554, 189.206107, 189.21959, 189.26137, 189.257971, 189.265043, 189.214021, 189.226855, 189.176245, 189.192375, 189.238387, 189.248366, 189.150163, 189.204023, 189.261911, 189.205618, 189.226944, 189.267636, 189.224084, 189.261417, 189.180806, 189.247977, 189.14951, 189.146777, 189.221313, 189.178159, 189.231803, 189.232502, 189.255075, 189.245764, 189.217095, 189.262127, 189.243554, 189.226584, 189.228745, 189.205681, 189.168815, 189.229161, 189.169071, 189.216222, 189.225827, 189.202287, 189.147937, 189.250438, 189.233112, 189.206681, 189.227409, 189.187592, 189.236333, 189.230089, 189.215178, 189.19789, 189.262038, 189.214466, 189.235829, 189.237149, 189.15731, 189.254989, 189.226143, 189.213876, 189.255064, 189.13854, 189.242933, 189.228632, 189.244022, 189.22454, 189.201408, 189.236969, 189.230508, 189.158328, 189.248238, 189.235729, 189.237434, 189.257975, 189.233339, 189.207228, 189.171407, 189.18013, 189.228268, 189.220708, 189.219094, 189.239664, 189.207572, 189.241315, 189.183473, 189.184791, 189.175707, 189.259094, 189.262188, 189.254053, 189.177199, 189.201272, 189.177812, 189.182343, 189.146898, 189.260819]","[189.270296, 189.276226, 189.261986, 189.283435, 189.259525, 189.258705, 189.285082, 189.298337, 189.245389, 189.284175, 189.257056, 189.257257, 189.275917, 189.246538, 189.246353, 189.263421, 189.314744, 189.244279, 189.262231, 189.223517, 189.334465, 189.300639, 189.229204, 189.266821, 189.285044, 189.286373, 189.337445, 189.177677, 189.264261, 189.250974, 189.16889, 189.272764, 189.271568, 189.339913, 189.339369, 189.331982, 189.332663, 189.200738, 189.249693, 189.182878, 189.176469, 189.189888, 189.197207, 189.189438, 189.196043, 189.213513, 189.252959, 189.166417, 189.188648, 189.232961, 189.190428, 189.350192, 189.257038, 189.166138, 189.339441, 189.309528, 189.171981, 189.311828, 189.169658, 189.172992, 189.310322, 189.168954, 189.205612, 189.263197, 189.295867, 189.189494, 189.189, 189.211654, 189.211415, 189.17287, 189.267639, 189.271893, 189.219021, 189.295568, 189.25716, 189.210713, 189.250327, 189.278387, 189.249835, 189.216641, 189.191059, 189.32634, 189.30245, 189.193315, 189.327197, 189.255861, 189.2206, 189.21004, 189.319293, 189.204279, 189.272403, 189.212077, 189.226307, 189.269319, 189.312368, 189.262919, 189.260594, 189.222979, 189.215619, 189.305536, 189.225683, 189.268833, 189.282732, 189.258732, 189.28236, 189.274067, 189.251661, 189.251741, 189.252761, 189.252102, 189.251371]","[189.259978, 189.261692, 189.259257, 189.274517, 189.297354, 189.296868, 189.268086, 189.300341, 189.305266, 189.262038, 189.257975, 189.259094, 189.32144, 189.264765, 189.351415, 189.305509, 189.261417, 189.349345, 189.267095, 189.262127, 189.358314, 189.352629, 189.350151, 189.354399, 189.291183, 189.262188, 189.238221, 189.257503, 189.239211, 189.358558, 189.335474, 189.334853, 189.238387, 189.357341, 189.338087, 189.33641, 189.323569, 189.367614, 189.37075, 189.374203, 189.368121, 189.35787, 189.359853, 189.32525, 189.345221, 189.37322, 189.261122, 189.253762, 189.260758, 189.26137, 189.261911, 189.254989, 189.349606, 189.324683, 189.338306, 189.379095, 189.30634, 189.37338, 189.336558, 189.373032, 189.307929, 189.381055, 189.370771, 189.370364, 189.310029, 189.330544, 189.329527, 189.270296, 189.340045, 189.340198, 189.319178, 189.311532, 189.328144, 189.276226, 189.326139, 189.261986, 189.3126, 189.283435, 189.259525, 189.258705, 189.285082, 189.298337, 189.341403, 189.341664, 189.245389, 189.337596, 189.284175, 189.306744, 189.330207, 189.257056, 189.257257, 189.275917, 189.246538, 189.246353, 189.312276, 189.263421, 189.314744, 189.244279, 189.262231, 189.223517, 189.229204, 189.266821, 189.264261, 189.250974, 189.249693]","[189.223517, 189.153107, 189.152334, 189.229204, 189.177677, 189.250974, 189.16889, 189.200738, 189.249693, 189.182878, 189.133777, 189.176469, 189.145222, 189.189888, 189.197207, 189.189438, 189.196043, 189.213513, 189.252959, 189.166417, 189.188648, 189.150031, 189.232961, 189.190428, 189.257038, 189.166138, 189.120755, 189.158344, 189.171981, 189.169658, 189.172992, 189.168954, 189.205612, 189.189494, 189.189, 189.211654, 189.168417, 189.113772, 189.114594, 189.211415, 189.17287, 189.219021, 189.122626, 189.210713, 189.216641, 189.191059, 189.144387, 189.193315, 189.2206, 189.21004, 189.204279, 189.139593, 189.212077, 189.18492, 189.171581]","[189.133554, 189.143077, 189.165804, 189.136205, 189.166985, 189.112317, 189.124094, 189.12448, 189.147456, 189.13745, 189.148348, 189.118505, 189.127395, 189.149418, 189.171034, 189.140775, 189.13836, 189.143853, 189.11075, 189.10952, 189.150377, 189.108059, 189.144534, 189.076965, 189.17671, 189.06665, 189.173707, 189.138698, 189.079744, 189.087985, 189.175707, 189.177199, 189.177812, 189.11433, 189.117892, 189.063839, 189.064856, 189.131755, 189.10483, 189.07125, 189.061058, 189.068358, 189.15731, 189.055184, 189.05785, 189.158328, 189.101041, 189.103116, 189.164063, 189.049609, 189.146777, 189.050849, 189.135925, 189.085108, 189.13612, 189.07633, 189.101066, 189.13854, 189.136021, 189.0444, 189.123036, 189.074605, 189.102727, 189.073524, 189.051341, 189.028418, 189.03965, 189.05604, 189.031898, 189.080538, 189.070165, 189.077607, 189.080972]","[53.260207, 53.256525, 53.265712, 53.251467, 53.258856, 53.256151, 53.267925, 53.249594, 53.249645, 53.248157, 53.246062, 53.25442, 53.255286, 53.247508, 53.254428, 53.245044, 53.249276, 53.23674, 53.264564, 53.241492, 53.234196, 53.238014, 53.237523, 53.249448, 53.238625, 53.2424, 53.251239, 53.243592, 53.237823, 53.239503, 53.231547, 53.252248, 53.23768, 53.257518, 53.233604, 53.255628, 53.235924, 53.235799, 53.254683, 53.260885, 53.233049, 53.244268, 53.244907, 53.245507, 53.235661, 53.256742, 53.246581, 53.247307, 53.247152, 53.257185, 53.252263, 53.262881, 53.257092, 53.248441, 53.247988]","[53.141417, 53.122445, 53.122068, 53.126369, 53.125352, 53.126815, 53.122824, 53.126478, 53.120572, 53.138677, 53.143376, 53.135733, 53.142836, 53.129559, 53.130644, 53.129374, 53.142153, 53.12862, 53.142018, 53.125394, 53.134834, 53.128724, 53.140461, 53.119551, 53.139378, 53.141158, 53.139312, 53.129577, 53.138847, 53.147044, 53.132301, 53.133653, 53.121131, 53.135079, 53.135278, 53.119496, 53.11826, 53.13391, 53.158558, 53.143876, 53.140992, 53.16157, 53.129877, 53.121732, 53.116854, 53.137872, 53.13743, 53.112106, 53.137067, 53.14332, 53.13364, 53.14452, 53.133299, 53.159731, 53.138514, 53.134474, 53.112088, 53.113122, 53.12717, 53.149771, 53.149009, 53.12312, 53.142953, 53.143366, 53.142647, 53.124654, 53.160135, 53.148008, 53.143441, 53.12517, 53.135252, 53.135757, 53.129329, 53.122159, 53.125876, 53.130081, 53.13263, 53.132054, 53.120517, 53.147076, 53.123657, 53.145244, 53.138754, 53.133541, 53.135361, 53.14771, 53.140889, 53.13337, 53.137562]","[53.157904, 53.157254, 53.16057, 53.166441, 53.158775, 53.16261, 53.159446, 53.150819, 53.151928, 53.149951, 53.159835, 53.150117, 53.140689, 53.175239, 53.149127, 53.147252, 53.140789, 53.147259, 53.17694, 53.181093, 53.147175, 53.179271, 53.157137, 53.156923, 53.136461, 53.138973, 53.144339, 53.136858, 53.180772, 53.158429, 53.181285, 53.158121, 53.178638, 53.173843, 53.145521, 53.168249, 53.134718, 53.181333, 53.161822, 53.131286, 53.154146, 53.160909, 53.181642, 53.15209, 53.140736, 53.147434, 53.151727, 53.168118, 53.166139, 53.151773, 53.181085, 53.141536, 53.149848, 53.139917, 53.180901, 53.130931, 53.142007, 53.174579, 53.151371, 53.178423, 53.163237, 53.14172, 53.168359, 53.160865, 53.131264, 53.168081, 53.163547, 53.130465, 53.132207, 53.15955, 53.167171, 53.158321, 53.148451, 53.164524, 53.169306, 53.153661, 53.154078, 53.171783, 53.152726, 53.157933, 53.166501, 53.150723, 53.140256, 53.140493, 53.141417, 53.154437, 53.143636, 53.151174, 53.148792, 53.145947, 53.151591, 53.158082, 53.149467, 53.149351, 53.149594, 53.146974]","[53.151007, 53.154372, 53.148337, 53.15146, 53.16585, 53.16189, 53.166792, 53.169914, 53.16775, 53.168174, 53.164449, 53.164358, 53.169667, 53.148045, 53.150111, 53.149882, 53.159154, 53.159597, 53.163096, 53.151188, 53.151033, 53.145083, 53.154928, 53.131463, 53.145934, 53.133759, 53.159984, 53.159803, 53.17051, 53.130324, 53.171701, 53.141613, 53.153548, 53.154451, 53.173331, 53.14973, 53.152543, 53.150461, 53.12534, 53.151559, 53.178965, 53.147959, 53.135704, 53.16689, 53.148395, 53.148584, 53.156736, 53.158798, 53.169681, 53.140584, 53.152679, 53.15161, 53.180695, 53.142238, 53.167472, 53.155855, 53.156625, 53.164592, 53.163584, 53.166203, 53.152261, 53.178062, 53.151254, 53.188855, 53.184202, 53.145272, 53.184031, 53.149147, 53.16756, 53.144423, 53.154043, 53.157186, 53.137636, 53.136902, 53.155006, 53.142745, 53.16059, 53.166171, 53.153718, 53.144313, 53.173864, 53.145069, 53.183184, 53.149287, 53.147981, 53.174404, 53.161047, 53.164094, 53.147117, 53.174022, 53.165159, 53.139398, 53.183109, 53.16166, 53.197576, 53.181113, 53.160948, 53.192165, 53.149046, 53.138215, 53.166974, 53.135725, 53.184564, 53.19194, 53.146087, 53.143467, 53.181233, 53.181719, 53.191544, 53.162051, 53.190351, 53.150752, 53.17431, 53.146885, 53.186552, 53.149017, 53.165886, 53.152862, 53.156509, 53.154514, 53.155643, 53.149204, 53.144489, 53.147071, 53.157197, 53.145233, 53.17298, 53.152328, 53.147471, 53.158284, 53.147766, 53.146623, 53.148891, 53.144267, 53.172973, 53.153822, 53.183359, 53.159983, 53.176046, 53.151791, 53.149071, 53.183214, 53.151679, 53.185899, 53.15935, 53.193096, 53.154965, 53.147843, 53.154744, 53.148119, 53.155933, 53.189951, 53.152873, 53.187128, 53.165566, 53.155933, 53.162448, 53.15228, 53.184901, 53.160178, 53.185225, 53.159449, 53.16732, 53.177505, 53.167483, 53.159861, 53.164444, 53.163867, 53.163584, 53.159695]","[53.108913, 53.098831, 53.112581, 53.103479, 53.103405, 53.097798, 53.095506, 53.124015, 53.100773, 53.096077, 53.10733, 53.107459, 53.099811, 53.126876, 53.107674, 53.101509, 53.128113, 53.131286, 53.118771, 53.102243, 53.127462, 53.097146, 53.125606, 53.107734, 53.108014, 53.107886, 53.128588, 53.130931, 53.108013, 53.125124, 53.120997, 53.108759, 53.121579, 53.10579, 53.131264, 53.128019, 53.130465, 53.124956, 53.125281, 53.109925, 53.10906, 53.09942, 53.122819, 53.116738, 53.128084, 53.132207, 53.12447, 53.108262, 53.123729, 53.109086, 53.116074, 53.109949, 53.130033, 53.112897, 53.122978, 53.123933, 53.127925, 53.127467, 53.11603, 53.1246, 53.124786, 53.109567, 53.115053, 53.12751, 53.121448, 53.124669, 53.096114, 53.121673, 53.102163, 53.123156, 53.11985, 53.11213, 53.105639, 53.116284, 53.089243, 53.098079, 53.117185, 53.129005, 53.137001, 53.112508, 53.091788, 53.091672, 53.107697, 53.117976, 53.122445, 53.122068, 53.116396, 53.126369, 53.125352, 53.0923, 53.127414, 53.126815, 53.11088, 53.089465, 53.122824, 53.126478, 53.094371, 53.120572, 53.119858, 53.117389, 53.110866, 53.091414, 53.107847, 53.119303, 53.108524, 53.115635, 53.119698, 53.129559, 53.130644, 53.129374, 53.091815, 53.12862, 53.093057, 53.099517, 53.096555, 53.10457, 53.125394, 53.128724, 53.110407, 53.115925, 53.105441, 53.115128, 53.119551, 53.115235, 53.110344, 53.109852, 53.106081, 53.111706, 53.109234, 53.107355, 53.110329, 53.121131, 53.119496, 53.11826, 53.116854]","[53.061408, 53.07919, 53.058675, 53.061621, 53.073659, 53.062306, 53.064517, 53.079785, 53.055616, 53.080628, 53.060993, 53.065952, 53.049253, 53.056299, 53.059862, 53.05114, 53.048926, 53.052048, 53.060217, 53.056518, 53.048552, 53.048543, 53.056659, 53.074072, 53.044577, 53.057265, 53.05672, 53.062023, 53.062406, 53.075871, 53.052833, 53.06424, 53.077216, 53.05784, 53.055026, 53.071304, 53.070908, 53.076098, 53.067234, 53.049754, 53.063003, 53.056915, 53.052185, 53.041826, 53.072413, 53.042327, 53.065701, 53.079706, 53.079187, 53.066769, 53.059806, 53.064455, 53.043289, 53.067001, 53.04782, 53.072993, 53.060006, 53.066721, 53.052726, 53.062821, 53.078598, 53.070329, 53.065023, 53.048088, 53.039389, 53.061975, 53.079234, 53.058858, 53.070388, 53.049703, 53.063032, 53.079909, 53.070538, 53.05963, 53.053364, 53.064265, 53.0731, 53.046176, 53.064389, 53.05851, 53.071995, 53.051187, 53.06746, 53.045637, 53.056561]"
