,ids,ra,dec,z,mergers
0,35688,53.113268,-27.73791,0.4183115185109598,[37380]
1,36183,53.120075,-27.732122,0.22077134369743717,"[36968, 37719, 37861]"
2,36224,53.104561,-27.734216,0.10446079376602967,[36802]
3,36394,53.107301,-27.74109,0.9360583819751408,[36094]
4,36583,53.114498,-27.738177,0.7897810261909477,[36934]
5,36932,53.107333,-27.738996,0.8900890330664425,[]
6,37035,53.118572,-27.738688,1.1404041697299667,[]
7,37080,53.10552,-27.738338,0.5667719499768498,[37103]
8,37092,53.108913,-27.738589,2.1356314444159556,"[37011, 37052]"
9,37103,53.10591,-27.738415,0.5653893577823198,[37080]
10,37110,53.117798,-27.738244,0.3672461536474788,[37302]
11,37111,53.1109,-27.738383,0.25977982291256063,"[35701, 36341, 37086]"
12,37243,53.098831,-27.736592,1.793061953622923,[37612]
13,37254,53.112581,-27.735321,1.1376333379519856,[37674]
14,37289,53.110702,-27.737139,1.3088874707382099,[]
15,37302,53.116221,-27.737327,0.41986241692320325,"[37110, 37380]"
16,37383,53.12061,-27.736585,3.4349229306085176,"[37313, 37442, 37482]"
17,37385,53.112289,-27.737095,0.6097453843420114,[]
18,37447,53.113601,-27.735273,0.738009283545874,[37715]
19,37462,53.103479,-27.735071,1.785624661413105,"[37448, 37625]"
20,37479,53.111898,-27.73665,1.5310629677587912,[]
21,37485,53.102696,-27.735463,1.5912583221930567,[]
22,37542,53.117831,-27.734305,3.263473721408474,"[37660, 37693, 38060]"
23,37625,53.103405,-27.735574,1.7925554567770594,"[37448, 37462]"
24,37637,53.100076,-27.735617,1.6061965750181837,[]
25,37711,53.097798,-27.735006,1.9771984528314812,[37612]
26,37715,53.112822,-27.734631,0.746551222684714,[37447]
27,37785,53.100222,-27.734895,1.3376590361228544,[]
28,37816,53.095506,-27.734273,1.2847698104733636,[37689]
29,37822,53.099032,-27.73441,2.8143317355102644,[]
30,37861,53.116874,-27.733706,0.28375870726362723,[37719]
31,37885,53.124015,-27.733451,2.1359990576627745,[38098]
32,37937,53.107974,-27.733745,0.28335195501023147,[38015]
33,37986,53.132618,-27.732297,1.4418395831989281,[]
34,38014,53.106435,-27.733489,3.801462495734745,[38201]
35,38060,53.118166,-27.733422,3.1046242308948897,"[37542, 37693]"
36,38076,53.116717,-27.732612,0.6138059230217215,[]
37,38083,53.099185,-27.733108,0.9713354524188238,"[37977, 38216]"
38,38092,53.125091,-27.729803,0.6644178096887413,[38399]
39,38119,53.119068,-27.733278,2.7370879149754495,[]
40,38121,53.106094,-27.733152,0.5210643725644502,[]
41,38141,53.11724,-27.73247,0.50911285474375,"[38008, 38490]"
42,38171,53.111528,-27.73284,1.5851017278431183,[]
43,38202,53.100773,-27.732315,1.705889101279102,"[37991, 38149, 38251]"
44,38216,53.098429,-27.732676,1.0909548122795,[]
45,38233,53.113993,-27.732659,0.7851019757313292,[38345]
46,38240,53.097385,-27.732459,0.2833727279838544,[]
47,38362,53.134038,-27.732166,1.6813095106539053,[]
48,38378,53.117375,-27.731311,3.8185174408595617,[]
