,ids,ra,dec,z,mergers
0,35921,189.317776,62.333192,1.1395031375819884,[]
1,37037,189.287029,62.345864,1.5547654105691593,[]
2,37382,189.290368,62.351979,3.9840690084390173,[]
3,37590,189.296412,62.357283,1.2354180996484714,[]
4,37786,189.281986,62.363756,1.4972765422373637,"[37738, 37836]"
5,37927,189.35237,62.368177,3.4480855489350133,[37922]
6,38093,189.301037,62.375063,1.117159710459748,[]
7,36114,189.317362,62.336336,0.2700947773952623,[]
8,37052,189.316688,62.347282,0.6094124882210764,[37177]
9,37392,189.272277,62.352093,2.877143994848293,[37412]
10,37592,189.28683,62.357605,1.4133924494133967,[]
11,37787,189.325931,62.363382,1.3583397425048862,[37788]
12,37928,189.292808,62.368988,0.4887041380847045,[]
13,38098,189.302156,62.375063,1.6104230526287204,[]
14,36203,189.312368,62.335707,1.7481889539658795,[36162]
15,37053,189.282732,62.346241,1.0966822885975895,"[37095, 37102]"
16,37395,189.299358,62.352114,1.3783311446642097,[37410]
17,37601,189.285388,62.357396,1.978312825518036,[]
18,37792,189.284731,62.363447,1.4606741519581645,[]
19,37932,189.29007,62.368769,0.761594023041075,[37961]
20,38099,189.294207,62.376266,1.4389385901036205,[38116]
21,36243,189.323948,62.336061,0.7285386967812234,[]
22,37060,189.311595,62.346434,0.530378706891975,[37192]
23,37399,189.317087,62.354119,1.1375923600938327,[37516]
24,37602,189.258339,62.357187,0.6931847668353353,[]
25,37793,189.312949,62.364027,0.0718350026116886,[37911]
26,37942,189.350348,62.368755,1.0507117865717621,[37951]
27,38101,189.282894,62.375726,1.254319918096859,[38147]
28,36303,189.296568,62.34024,0.6480090970602005,"[36420, 36736]"
29,37065,189.278441,62.346566,0.8238959373153865,[]
30,37402,189.281456,62.353344,0.5813058962427927,[]
31,37605,189.272243,62.357108,0.9861203916982352,[]
32,37798,189.302802,62.36496,0.8643345780063538,[]
33,37947,189.317505,62.370586,0.48354923528790694,[]
34,38102,189.339219,62.375874,1.2424464833564306,[38134]
35,36382,189.322521,62.337562,1.2424406648672426,[]
36,37067,189.293402,62.346001,1.0095810276984751,"[36970, 37104]"
37,37403,189.302546,62.352562,1.3275454375901325,[]
38,37612,189.29839,62.357399,0.4973926774429123,[]
39,37802,189.323713,62.36373,3.220105014813532,[37797]
40,37950,189.280365,62.369439,1.3110600610455472,[]
41,38105,189.318889,62.375442,1.0193447051116304,[]
42,36420,189.297732,62.340677,0.5821914082606247,"[36303, 36736]"
43,37072,189.325721,62.346712,1.0656091796881584,[]
44,37406,189.310109,62.353392,0.9355141984116552,[37519]
45,37614,189.340194,62.357355,0.507232440957756,[]
46,37805,189.306668,62.3653,0.5554945575563589,"[37821, 37845]"
47,37951,189.350978,62.369401,1.0315577815605124,[37942]
48,38106,189.336339,62.376207,0.5656407412458524,[]
49,36435,189.332475,62.347383,2.704229851961851,[]
50,37074,189.319921,62.346127,1.0144973364385583,[37132]
51,37411,189.262014,62.352686,3.0353653045617275,[]
52,37615,189.274402,62.358291,0.8404121726604714,[37633]
53,37807,189.315812,62.363926,1.5637698639540658,"[37810, 37833]"
54,37953,189.294901,62.369646,1.299201303313902,[37970]
55,38107,189.287057,62.375493,0.31941381507018446,[]
56,36456,189.326178,62.343252,0.27113473972085245,[36877]
57,37076,189.288373,62.346699,2.100026593107436,[]
