,ids,ra,dec,z,mergers
0,18761,53.149898,-27.823896,0.23302961353971588,[]
1,18795,53.150178,-27.824528,0.6060544631082408,"[18937, 18943, 18988, 19113]"
2,18933,53.151007,-27.823314,1.5557156574077613,[19030]
3,19113,53.150673,-27.822818,0.5589067954083773,"[18795, 18937, 18943, 18988]"
4,19146,53.143835,-27.813467,0.2086153561345687,"[20315, 20566, 20868]"
5,19148,53.164983,-27.819326,0.9728423651155615,"[19872, 19993]"
6,19234,53.149677,-27.822273,0.8777341546694644,"[19021, 19173]"
7,19257,53.161075,-27.821896,0.6646833631117256,[19638]
8,19348,53.148822,-27.821115,2.5620726937776688,[19547]
9,19365,53.154372,-27.821478,1.2142779223025804,"[19258, 19373]"
10,19715,53.161704,-27.819254,0.6456507084334622,[19811]
11,19743,53.148337,-27.819902,1.6519049835473052,[19778]
12,19819,53.15146,-27.819368,1.2512443112503178,"[19684, 19929]"
13,19872,53.16585,-27.819042,1.0795830761676721,[19148]
14,19906,53.161948,-27.819077,4.58082394929433,"[19733, 19953]"
15,19915,53.158393,-27.819002,0.18248002144407022,[19888]
16,19939,53.164197,-27.818463,1.1164274600808142,[]
17,19989,53.152591,-27.818421,0.9908633676932131,[]
18,19999,53.16189,-27.818407,1.320430143247401,"[19919, 19935, 19966]"
19,20018,53.166792,-27.818491,1.8998077056069596,[19971]
20,20030,53.143897,-27.817991,0.6983888113081136,[]
21,20067,53.147495,-27.817902,0.9261938737786289,[19960]
22,20106,53.169914,-27.817863,1.0264605780221778,[20159]
23,20164,53.137179,-27.81566,0.8395518811022313,[]
24,20178,53.136342,-27.816533,0.6811454274818061,[20704]
25,20199,53.16775,-27.816694,1.1359081043769408,[20181]
26,20253,53.168174,-27.816962,1.0113341128099462,"[20159, 20199]"
27,20254,53.163171,-27.812405,0.4474536097886158,"[21185, 21380]"
28,20356,53.17117,-27.814708,0.3357265072016902,[]
29,20398,53.162519,-27.816542,3.0116688587805767,[20520]
30,20404,53.164449,-27.81534,1.0888285503543509,[20547]
31,20442,53.134087,-27.815748,0.648168321492184,"[20704, 20778]"
32,20454,53.160713,-27.816299,0.5435025963295155,"[20222, 20489]"
33,20490,53.154283,-27.815927,0.8390810324732536,[20744]
34,20547,53.164358,-27.815685,1.137946798386488,"[20404, 20493]"
35,20549,53.169667,-27.815214,1.6114552076284248,[20544]
36,20566,53.145091,-27.815394,0.1991481080694152,"[19146, 20315]"
37,20604,53.13711,-27.815095,1.3741643802062509,[]
38,20612,53.143115,-27.815496,4.204293956410904,[]
39,20614,53.148045,-27.815449,1.1736204225794493,[20527]
40,20623,53.157828,-27.814752,0.18450582272467247,[]
41,20634,53.150111,-27.815225,1.1504279287927295,"[20311, 20792]"
42,20644,53.147288,-27.815153,2.2740066955957516,"[20411, 20663]"
43,20651,53.149882,-27.813995,1.338415112073145,[20792]
44,20659,53.14485,-27.815123,2.3175067986158013,[]
45,20671,53.156407,-27.810806,0.6678755514729794,[21169]
46,20698,53.164811,-27.814367,5.293235774120025,[]
47,20701,53.143999,-27.814985,2.546722438939425,[]
48,20734,53.151936,-27.814652,0.6793861083143379,[20925]
49,20778,53.132375,-27.814234,0.750716925159204,[]
50,20788,53.165278,-27.814061,3.1145029573696346,[20653]
51,20798,53.157858,-27.814398,1.4090317930010032,[]
52,20805,53.135304,-27.814488,2.9488302906918125,[]
53,20883,53.159154,-27.813746,1.764745485421652,[20828]
54,20898,53.134305,-27.812622,0.5060274751004292,"[20774, 20918]"
55,20915,53.135996,-27.813545,1.3471492038271076,[]
56,20948,53.142142,-27.813765,2.3495671205889876,[20814]
57,20970,53.146131,-27.812309,0.8030422370367024,[]
58,20976,53.159597,-27.81345,1.1340747630153294,[20667]
59,21002,53.163096,-27.813604,1.4563362838212075,"[20731, 20923]"
60,21141,53.168167,-27.812929,0.9586768007251523,[]
