,0
0,19.0
1,-7.0
2,-4.0
3,-2.0
4,-3.0
5,-8.0
6,-3.0
7,9.0
8,-4.0
9,-1.0
10,-1.0
11,-2.0
12,4.0
13,0.0
14,0.0
15,6.0
16,-3.0
17,-3.0
18,-1.0
19,-4.0
20,-3.0
21,4.0
22,0.0
23,5.0
24,7.0
25,-1.0
26,12.0
27,-4.0
28,8.0
29,-6.0
30,4.0
31,-5.0
32,1.0
33,-1.0
34,-6.0
35,3.0
36,3.0
37,-18.0
38,5.0
39,2.0
40,11.0
41,-1.0
42,-3.0
43,-7.0
44,4.0
45,8.0
46,8.0
47,10.0
48,-8.0
49,-6.0
50,3.0
51,2.0
52,0.0
53,-4.0
54,3.0
55,-4.0
56,-8.0
57,-8.0
58,6.0
59,1.0
60,-7.0
61,-3.0
62,9.0
63,3.0
64,-5.0
65,0.0
66,8.0
67,-9.0
68,3.0
69,-8.0
70,9.0
71,-9.0
72,-4.0
73,-3.0
74,1.0
75,2.0
76,-4.0
77,-10.0
78,13.0
79,-7.0
80,5.0
81,-5.0
82,-5.0
83,-1.0
84,1.0
85,-5.0
86,-3.0
87,0.0
88,-8.0
89,-17.0
90,-5.0
91,14.0
92,8.0
93,3.0
94,18.0
95,-4.0
96,-6.0
97,3.0
98,3.0
99,-11.0
100,0.0
101,3.0
102,10.0
103,-1.0
104,7.0
105,-2.0
106,-3.0
107,2.0
108,-4.0
109,-6.0
110,2.0
111,-6.0
112,4.0
113,4.0
114,5.0
115,-13.0
116,22.0
117,7.0
118,-13.0
119,10.0
120,5.0
121,8.0
122,-4.0
123,-6.0
124,-8.0
125,-16.0
126,3.0
127,4.0
128,-12.0
129,-5.0
130,-7.0
131,7.0
132,-5.0
133,-6.0
134,-21.0
135,3.0
136,13.0
137,1.0
138,-4.0
139,0.0
140,6.0
141,-1.0
142,2.0
143,8.0
144,-1.0
145,0.0
146,-6.0
147,-1.0
148,-2.0
149,-8.0
150,9.0
151,2.0
152,-3.0
153,2.0
154,-7.0
