,0
0,-11.0
1,-11.0
2,1.0
3,4.0
4,6.0
5,0.0
6,3.0
7,-11.0
8,-15.0
9,-20.0
10,1.0
11,-7.0
12,-2.0
13,0.0
14,-4.0
15,-2.0
16,3.0
17,6.0
18,-6.0
19,0.0
20,-3.0
21,-1.0
22,4.0
23,-6.0
24,-2.0
25,-5.0
26,-4.0
27,8.0
28,12.0
29,6.0
30,-11.0
31,-14.0
32,1.0
33,6.0
34,1.0
35,9.0
36,-11.0
37,5.0
38,1.0
39,3.0
40,3.0
41,-2.0
42,-1.0
43,-10.0
44,4.0
45,-7.0
46,32.0
47,-34.0
48,-4.0
49,0.0
50,-1.0
51,-3.0
52,-6.0
53,-7.0
54,-6.0
55,-2.0
56,4.0
57,11.0
58,-12.0
59,1.0
60,-2.0
61,5.0
62,9.0
63,-3.0
64,3.0
65,8.0
66,-2.0
67,-11.0
68,-3.0
69,4.0
70,2.0
71,3.0
72,-6.0
73,-13.0
74,-5.0
75,0.0
76,5.0
77,-5.0
78,4.0
79,-12.0
80,1.0
81,2.0
82,0.0
83,-10.0
84,-2.0
85,3.0
86,-4.0
87,15.0
88,1.0
89,-3.0
90,-4.0
91,-4.0
92,-3.0
93,3.0
94,-5.0
95,-4.0
96,-5.0
97,2.0
98,-1.0
99,-7.0
100,-8.0
101,5.0
102,6.0
103,-9.0
104,-11.0
105,-4.0
106,-1.0
107,4.0
108,-1.0
109,-3.0
110,-2.0
111,0.0
112,-10.0
113,1.0
114,6.0
115,4.0
116,8.0
117,2.0
118,3.0
119,0.0
120,6.0
121,0.0
122,-1.0
123,10.0
124,3.0
125,-6.0
126,3.0
127,12.0
128,-8.0
129,-5.0
130,-6.0
131,-16.0
132,11.0
133,-1.0
134,7.0
135,-13.0
136,-12.0
137,2.0
138,2.0
139,-3.0
140,-1.0
141,-9.0
142,-2.0
143,-6.0
144,-3.0
145,-9.0
146,-4.0
147,1.0
148,-5.0
149,10.0
150,-1.0
151,2.0
152,-2.0
153,11.0
154,-8.0
