,0
0,-3.0
1,-17.0
2,1.0
3,-2.0
4,0.0
5,-3.0
6,-5.0
7,-2.0
8,-35.0
9,19.0
10,2.0
11,0.0
12,2.0
13,2.0
14,-6.0
15,-10.0
16,0.0
17,-1.0
18,2.0
19,-7.0
20,1.0
21,1.0
22,2.0
23,4.0
24,-4.0
25,-2.0
26,0.0
27,-6.0
28,6.0
29,4.0
30,-15.0
31,-5.0
32,-9.0
33,10.0
34,-4.0
35,2.0
36,-2.0
37,-15.0
38,-2.0
39,0.0
40,11.0
41,1.0
42,-4.0
43,-6.0
44,4.0
45,5.0
46,7.0
47,-17.0
48,-4.0
49,-3.0
50,-1.0
51,-2.0
52,5.0
53,1.0
54,7.0
55,-4.0
56,1.0
57,-10.0
58,5.0
59,-12.0
60,-2.0
61,-5.0
62,3.0
63,-9.0
64,16.0
65,-8.0
66,3.0
67,-9.0
68,-2.0
69,-8.0
70,1.0
71,10.0
72,6.0
73,6.0
74,-1.0
75,-17.0
76,2.0
77,-8.0
78,-4.0
79,-6.0
80,3.0
81,5.0
82,-4.0
83,3.0
84,-3.0
85,-16.0
86,2.0
87,-10.0
88,-6.0
89,5.0
90,4.0
91,-6.0
92,-8.0
93,0.0
94,-11.0
95,6.0
96,-4.0
97,-3.0
98,-1.0
99,5.0
100,-9.0
101,2.0
102,-4.0
103,-5.0
104,-1.0
105,-2.0
106,1.0
107,-3.0
108,-1.0
109,-7.0
110,4.0
111,1.0
112,6.0
113,0.0
114,-1.0
115,-7.0
116,-10.0
117,0.0
118,3.0
119,-6.0
120,10.0
121,-8.0
122,-4.0
123,8.0
124,-5.0
125,-9.0
126,0.0
127,-10.0
128,6.0
129,2.0
130,-1.0
131,-11.0
132,8.0
133,4.0
134,6.0
135,-6.0
136,2.0
137,11.0
138,5.0
139,-4.0
140,-9.0
141,1.0
142,-1.0
143,-3.0
144,4.0
145,-4.0
146,-1.0
147,-9.0
148,5.0
149,14.0
150,6.0
151,5.0
152,0.0
153,15.0
154,-3.0
