,0
0,19.0
1,-7.0
2,3.0
3,-2.0
4,4.0
5,7.0
6,4.0
7,12.0
8,17.0
9,-4.0
10,-4.0
11,-7.0
12,-1.0
13,3.0
14,-1.0
15,-2.0
16,0.0
17,-2.0
18,2.0
19,-5.0
20,-4.0
21,3.0
22,4.0
23,-5.0
24,0.0
25,-4.0
26,0.0
27,4.0
28,13.0
29,-1.0
30,15.0
31,14.0
32,-4.0
33,-4.0
34,5.0
35,2.0
36,4.0
37,-14.0
38,11.0
39,3.0
40,12.0
41,1.0
42,-2.0
43,1.0
44,9.0
45,3.0
46,4.0
47,0.0
48,-5.0
49,-4.0
50,-5.0
51,3.0
52,2.0
53,-4.0
54,4.0
55,15.0
56,4.0
57,4.0
58,-3.0
59,-5.0
60,-4.0
61,8.0
62,-8.0
63,0.0
64,-10.0
65,5.0
66,-2.0
67,6.0
68,-6.0
69,1.0
70,-5.0
71,-10.0
72,-2.0
73,2.0
74,0.0
75,5.0
76,-13.0
77,-4.0
78,-16.0
79,-6.0
80,0.0
81,4.0
82,4.0
83,1.0
84,0.0
85,8.0
86,5.0
87,6.0
88,-10.0
89,16.0
90,3.0
91,16.0
92,5.0
93,7.0
94,7.0
95,1.0
96,0.0
97,-1.0
98,4.0
99,-9.0
100,-5.0
101,2.0
102,6.0
103,5.0
104,-3.0
105,2.0
106,-6.0
107,-6.0
108,1.0
109,7.0
110,2.0
111,-7.0
112,-7.0
113,-2.0
114,-3.0
115,8.0
116,-6.0
117,-3.0
118,0.0
119,9.0
120,-5.0
121,-3.0
122,4.0
123,-9.0
124,-8.0
125,0.0
126,-7.0
127,-3.0
128,5.0
129,2.0
130,-2.0
131,16.0
132,3.0
133,-1.0
134,-21.0
135,-16.0
136,-1.0
137,-10.0
138,0.0
139,-6.0
140,6.0
141,1.0
142,-7.0
143,15.0
144,-3.0
145,1.0
146,-1.0
147,-2.0
148,-5.0
149,1.0
150,6.0
151,-10.0
152,4.0
153,-12.0
154,6.0
