,0
0,-11.0
1,16.0
2,1.0
3,-2.0
4,-2.0
5,-4.0
6,-4.0
7,0.0
8,-29.0
9,0.0
10,3.0
11,-8.0
12,4.0
13,-2.0
14,1.0
15,-1.0
16,3.0
17,1.0
18,1.0
19,-8.0
20,0.0
21,-2.0
22,4.0
23,8.0
24,1.0
25,-2.0
26,5.0
27,2.0
28,15.0
29,2.0
30,-20.0
31,-9.0
32,6.0
33,10.0
34,2.0
35,-8.0
36,3.0
37,-4.0
38,4.0
39,-1.0
40,4.0
41,4.0
42,1.0
43,-10.0
44,-10.0
45,-5.0
46,10.0
47,-20.0
48,-6.0
49,-2.0
50,2.0
51,3.0
52,-1.0
53,-4.0
54,-2.0
55,-6.0
56,0.0
57,-4.0
58,3.0
59,-2.0
60,0.0
61,2.0
62,-2.0
63,-2.0
64,6.0
65,-6.0
66,0.0
67,-7.0
68,2.0
69,-6.0
70,3.0
71,3.0
72,2.0
73,6.0
74,1.0
75,21.0
76,5.0
77,-3.0
78,4.0
79,10.0
80,0.0
81,9.0
82,0.0
83,2.0
84,8.0
85,-6.0
86,-3.0
87,-10.0
88,-1.0
89,2.0
90,1.0
91,-8.0
92,2.0
93,8.0
94,2.0
95,-1.0
96,-10.0
97,-5.0
98,-5.0
99,-1.0
100,-3.0
101,8.0
102,2.0
103,2.0
104,2.0
105,2.0
106,-2.0
107,-2.0
108,6.0
109,-3.0
110,-6.0
111,3.0
112,-13.0
113,0.0
114,7.0
115,-10.0
116,-3.0
117,10.0
118,-4.0
119,5.0
120,-4.0
121,-2.0
122,-7.0
123,10.0
124,-2.0
125,8.0
126,-4.0
127,12.0
128,-5.0
129,4.0
130,-3.0
131,-5.0
132,2.0
133,3.0
134,-6.0
135,13.0
136,4.0
137,8.0
138,7.0
139,-5.0
140,0.0
141,-6.0
142,-4.0
143,-10.0
144,-1.0
145,-1.0
146,1.0
147,-1.0
148,11.0
149,13.0
150,-1.0
151,0.0
152,-3.0
153,-4.0
154,4.0
