,0
0,8.0
1,-12.0
2,2.0
3,3.0
4,-6.0
5,1.0
6,0.0
7,0.0
8,-6.0
9,14.0
10,2.0
11,-5.0
12,-2.0
13,5.0
14,-5.0
15,-7.0
16,0.0
17,-10.0
18,-3.0
19,3.0
20,4.0
21,-4.0
22,2.0
23,-5.0
24,-1.0
25,-4.0
26,5.0
27,-3.0
28,12.0
29,-2.0
30,-1.0
31,-4.0
32,4.0
33,13.0
34,-3.0
35,7.0
36,3.0
37,-20.0
38,3.0
39,0.0
40,11.0
41,1.0
42,2.0
43,-5.0
44,1.0
45,0.0
46,33.0
47,-16.0
48,-4.0
49,1.0
50,5.0
51,6.0
52,2.0
53,-6.0
54,7.0
55,0.0
56,1.0
57,-7.0
58,1.0
59,3.0
60,2.0
61,-4.0
62,-5.0
63,10.0
64,9.0
65,3.0
66,-2.0
67,7.0
68,0.0
69,4.0
70,-5.0
71,-8.0
72,-5.0
73,-4.0
74,-5.0
75,-14.0
76,-1.0
77,-3.0
78,-13.0
79,8.0
80,3.0
81,-2.0
82,-12.0
83,3.0
84,2.0
85,-16.0
86,6.0
87,9.0
88,-10.0
89,1.0
90,-4.0
91,-16.0
92,5.0
93,-4.0
94,-7.0
95,2.0
96,-3.0
97,-3.0
98,3.0
99,-1.0
100,-5.0
101,-6.0
102,4.0
103,6.0
104,-6.0
105,0.0
106,0.0
107,-3.0
108,9.0
109,7.0
110,-7.0
111,-6.0
112,0.0
113,-2.0
114,-5.0
115,-7.0
116,-13.0
117,0.0
118,0.0
119,-2.0
120,-4.0
121,-7.0
122,-3.0
123,-9.0
124,-6.0
125,-6.0
126,3.0
127,-13.0
128,1.0
129,-6.0
130,-5.0
131,-4.0
132,-12.0
133,-1.0
134,-7.0
135,-13.0
136,-1.0
137,-14.0
138,2.0
139,-1.0
140,-4.0
141,7.0
142,-3.0
143,-7.0
144,-1.0
145,-1.0
146,0.0
147,-5.0
148,5.0
149,14.0
150,3.0
151,-6.0
152,-5.0
153,0.0
154,2.0
