,0
0,3.0
1,-14.0
2,0.0
3,16.0
4,5.0
5,3.0
6,-2.0
7,-6.0
8,12.0
9,-8.0
10,-4.0
11,-1.0
12,-7.0
13,-2.0
14,1.0
15,4.0
16,-3.0
17,7.0
18,-4.0
19,-9.0
20,-7.0
21,3.0
22,-4.0
23,4.0
24,1.0
25,-3.0
26,11.0
27,8.0
28,10.0
29,3.0
30,2.0
31,15.0
32,0.0
33,-2.0
34,0.0
35,5.0
36,-9.0
37,-10.0
38,12.0
39,-4.0
40,-1.0
41,7.0
42,0.0
43,-4.0
44,1.0
45,-12.0
46,11.0
47,9.0
48,-1.0
49,-5.0
50,0.0
51,1.0
52,0.0
53,-6.0
54,2.0
55,-8.0
56,3.0
57,1.0
58,-2.0
59,6.0
60,-4.0
61,-12.0
62,1.0
63,-6.0
64,8.0
65,-5.0
66,5.0
67,-9.0
68,2.0
69,-3.0
70,8.0
71,-6.0
72,4.0
73,4.0
74,2.0
75,-5.0
76,-2.0
77,-5.0
78,9.0
79,4.0
80,-2.0
81,-4.0
82,-3.0
83,1.0
84,3.0
85,3.0
86,-7.0
87,-9.0
88,7.0
89,-1.0
90,-3.0
91,-19.0
92,-4.0
93,11.0
94,13.0
95,-2.0
96,1.0
97,-3.0
98,-2.0
99,-1.0
100,5.0
101,10.0
102,0.0
103,4.0
104,-8.0
105,-3.0
106,-4.0
107,0.0
108,-7.0
109,-6.0
110,-3.0
111,6.0
112,3.0
113,-7.0
114,-8.0
115,1.0
116,-4.0
117,4.0
118,-7.0
119,-6.0
120,-4.0
121,2.0
122,1.0
123,-16.0
124,-19.0
125,7.0
126,-7.0
127,-1.0
128,-6.0
129,-1.0
130,-3.0
131,23.0
132,-9.0
133,-1.0
134,-21.0
135,-6.0
136,13.0
137,-5.0
138,-3.0
139,-5.0
140,1.0
141,-7.0
142,-7.0
143,8.0
144,2.0
145,10.0
146,11.0
147,-2.0
148,0.0
149,-13.0
150,-3.0
151,0.0
152,5.0
153,-10.0
154,-9.0
