,0
0,0.0
1,9.0
2,-5.0
3,-6.0
4,2.0
5,5.0
6,4.0
7,-7.0
8,-14.0
9,-7.0
10,-3.0
11,5.0
12,-3.0
13,-4.0
14,2.0
15,-2.0
16,0.0
17,-1.0
18,-6.0
19,-1.0
20,6.0
21,-4.0
22,4.0
23,2.0
24,5.0
25,-8.0
26,7.0
27,-4.0
28,18.0
29,0.0
30,10.0
31,-6.0
32,4.0
33,6.0
34,13.0
35,0.0
36,-4.0
37,-9.0
38,11.0
39,-3.0
40,9.0
41,-7.0
42,4.0
43,-5.0
44,4.0
45,2.0
46,36.0
47,9.0
48,-7.0
49,5.0
50,-2.0
51,3.0
52,6.0
53,1.0
54,-3.0
55,-3.0
56,3.0
57,-15.0
58,-3.0
59,0.0
60,5.0
61,-12.0
62,2.0
63,11.0
64,13.0
65,6.0
66,-1.0
67,-10.0
68,0.0
69,-6.0
70,12.0
71,-9.0
72,-1.0
73,-5.0
74,4.0
75,-4.0
76,1.0
77,2.0
78,9.0
79,-10.0
80,-4.0
81,-2.0
82,0.0
83,5.0
84,7.0
85,-4.0
86,5.0
87,6.0
88,5.0
89,-2.0
90,-3.0
91,-3.0
92,-1.0
93,-10.0
94,7.0
95,-7.0
96,-1.0
97,5.0
98,-4.0
99,-6.0
100,-5.0
101,-4.0
102,-9.0
103,-3.0
104,-10.0
105,-2.0
106,-2.0
107,-5.0
108,-12.0
109,5.0
110,-7.0
111,4.0
112,8.0
113,1.0
114,-5.0
115,0.0
116,6.0
117,-5.0
118,1.0
119,-4.0
120,-4.0
121,-10.0
122,-6.0
123,-7.0
124,-10.0
125,-21.0
126,-3.0
127,-6.0
128,4.0
129,0.0
130,-10.0
131,26.0
132,-14.0
133,1.0
134,7.0
135,1.0
136,-16.0
137,-16.0
138,-8.0
139,-5.0
140,-7.0
141,-2.0
142,-8.0
143,10.0
144,1.0
145,2.0
146,6.0
147,-4.0
148,-2.0
149,2.0
150,-2.0
151,5.0
152,3.0
153,7.0
154,-4.0
