,0
0,6.0
1,-11.0
2,2.0
3,8.0
4,13.0
5,-2.0
6,-6.0
7,1.0
8,-6.0
9,16.0
10,-4.0
11,-4.0
12,-6.0
13,-4.0
14,-2.0
15,3.0
16,-5.0
17,5.0
18,-1.0
19,-2.0
20,3.0
21,-3.0
22,-6.0
23,-2.0
24,-2.0
25,4.0
26,0.0
27,5.0
28,11.0
29,-1.0
30,-5.0
31,-1.0
32,-5.0
33,3.0
34,-4.0
35,11.0
36,7.0
37,20.0
38,2.0
39,-3.0
40,9.0
41,-2.0
42,-2.0
43,8.0
44,6.0
45,-1.0
46,10.0
47,-13.0
48,-5.0
49,-3.0
50,-2.0
51,6.0
52,-3.0
53,6.0
54,-9.0
55,-5.0
56,-5.0
57,-2.0
58,-3.0
59,-2.0
60,-1.0
61,-3.0
62,-1.0
63,5.0
64,9.0
65,-1.0
66,-6.0
67,-8.0
68,-2.0
69,-9.0
70,3.0
71,7.0
72,-13.0
73,-7.0
74,-5.0
75,-11.0
76,2.0
77,6.0
78,-5.0
79,8.0
80,2.0
81,-8.0
82,-2.0
83,0.0
84,-7.0
85,-4.0
86,-8.0
87,14.0
88,-8.0
89,-3.0
90,-5.0
91,12.0
92,-5.0
93,-2.0
94,-14.0
95,0.0
96,-2.0
97,-1.0
98,1.0
99,3.0
100,-5.0
101,3.0
102,-5.0
103,-1.0
104,-2.0
105,0.0
106,1.0
107,-2.0
108,6.0
109,11.0
110,1.0
111,0.0
112,-9.0
113,-7.0
114,2.0
115,-1.0
116,5.0
117,-15.0
118,-1.0
119,-4.0
120,4.0
121,0.0
122,-2.0
123,-6.0
124,0.0
125,3.0
126,-3.0
127,-10.0
128,-3.0
129,5.0
130,-9.0
131,-10.0
132,2.0
133,1.0
134,8.0
135,-8.0
136,-1.0
137,-6.0
138,4.0
139,2.0
140,-8.0
141,-6.0
142,-7.0
143,-10.0
144,0.0
145,-6.0
146,1.0
147,-4.0
148,8.0
149,-2.0
150,-13.0
151,0.0
152,0.0
153,-19.0
154,-7.0
