,0
0,-2.0
1,0.0
2,2.0
3,5.0
4,2.0
5,9.0
6,-4.0
7,-5.0
8,-23.0
9,-11.0
10,-3.0
11,-3.0
12,-7.0
13,-4.0
14,3.0
15,-5.0
16,-4.0
17,-2.0
18,-1.0
19,6.0
20,5.0
21,-7.0
22,-6.0
23,-12.0
24,5.0
25,6.0
26,5.0
27,-3.0
28,15.0
29,-2.0
30,11.0
31,-5.0
32,-7.0
33,-3.0
34,3.0
35,3.0
36,2.0
37,0.0
38,9.0
39,-3.0
40,20.0
41,-3.0
42,-5.0
43,3.0
44,3.0
45,1.0
46,24.0
47,0.0
48,-1.0
49,1.0
50,2.0
51,-9.0
52,2.0
53,0.0
54,-5.0
55,-6.0
56,4.0
57,-11.0
58,-4.0
59,-3.0
60,4.0
61,-4.0
62,-1.0
63,1.0
64,0.0
65,6.0
66,3.0
67,-15.0
68,6.0
69,1.0
70,4.0
71,-11.0
72,-5.0
73,-7.0
74,11.0
75,-10.0
76,-8.0
77,-3.0
78,-1.0
79,13.0
80,-6.0
81,-14.0
82,-3.0
83,4.0
84,-6.0
85,-14.0
86,6.0
87,0.0
88,-10.0
89,11.0
90,-3.0
91,-19.0
92,-5.0
93,12.0
94,7.0
95,0.0
96,-2.0
97,3.0
98,2.0
99,-9.0
100,0.0
101,-1.0
102,-3.0
103,1.0
104,1.0
105,-1.0
106,1.0
107,-4.0
108,-4.0
109,-14.0
110,-7.0
111,1.0
112,2.0
113,-1.0
114,-4.0
115,5.0
116,20.0
117,10.0
118,-12.0
119,-7.0
120,-1.0
121,-12.0
122,-6.0
123,-7.0
124,16.0
125,7.0
126,-7.0
127,4.0
128,4.0
129,-4.0
130,-3.0
131,21.0
132,0.0
133,-6.0
134,-21.0
135,7.0
136,-5.0
137,7.0
138,-8.0
139,-4.0
140,4.0
141,3.0
142,-4.0
143,0.0
144,-6.0
145,1.0
146,3.0
147,4.0
148,-10.0
149,-4.0
150,4.0
151,1.0
152,-2.0
153,-11.0
154,-7.0
